index,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,nearestrefflux,nearestreffluxunc,Fluxtot,Fluxunctot,SNRtot,mag_abs,mag_abs_unc,mag_upperlim
2485,792,1,1,ZTF_r,1624240550115,0,1.9606,165.837,7.25061,26.0906,1.34981e-05,0.0271552,0.10415,1.93188e-05,348,30.0,0.078387,0.0704,20.1538,26.0906,3,2459378.7405556,792120201,1,63.6600595604164,29.3819187203312,2.41013677088812,1.13880935286396,54.8958458493296,55.4623872388616,0.996451384098171,1.03970481805962,0.174452414040503,17.3079999923706,0.0140000004321337,0.449999988079071,0.0109999999403954,2458182.927928,2458218.944664,0,-48.9021733210364,112.5622328814528,3258.667153431572,42.02020959401482,3371.229386313025,51.27372779516898,65.74964472605916,17.27112924015955,0.0165126367529967,
2486,792,1,1,ZTF_r,1624241490115,0,1.7338,162.991,7.61672,26.0958,2.36951e-05,0.0360865,0.0992402,3.40964e-05,348,30.0,0.073041,0.063619,20.1945,26.0958,2,2459378.7414931,792120201,1,63.4319241154871,25.8698588440807,2.72752429281315,1.17670745364885,78.0280309136546,51.0611953862797,1.53841980386345,1.03311899761015,0.174452414040503,17.3079999923706,0.0140000004321337,0.449999988079071,0.0109999999403954,2458182.927928,2458218.944664,0,-48.9021733210364,112.3340974365235,3274.311572531449,42.221942921968,3386.645669967973,49.517088572719864,68.39347319449949,17.27137559831128,0.015874321763312892,
2487,792,1,1,ZTF_r,1625240760115,33554432,1.6949,910.445,13.4416,28.0185,1.88423e-05,0.0321139,0.0954378,2.7163e-05,344,150.0,0.068918,0.064583,21.2564,28.0185,3,2459379.7407639,792120201,1,282.418722441574,58.2185394629399,5.39618684873229,1.42310707689715,18.1883775784367,110.832366594801,0.165212364496718,1.03623487790979,0.174452414040503,17.3079999923706,0.0140000004321337,0.449999988079071,0.0109999999403954,2458182.927928,2458218.944664,0,-48.9021733210364,331.3208957626104,19239.77562851352,248.09511569802405,19571.09652427613,254.83442618769902,76.79926459332061,17.289462102806766,0.014136854118970634,
2488,792,1,1,ZTF_r,1625243090115,0,1.5267,181.629,6.4623,26.2134,1.62154e-05,0.0301949,0.10154,2.34952e-05,349,30.0,0.072759,0.06979,20.5323,26.2134,3,2459379.7430903,792120201,1,94.5560548755604,24.8149824770096,4.2386755260517,1.29242772638598,96.6308424691538,49.6849163197883,1.95797163321548,1.02986964162641,0.174452414040503,17.3079999923706,0.0140000004321337,0.449999988079071,0.0109999999403954,2458182.927928,2458218.944664,0,-48.9021733210364,143.4582281965968,3648.8835456659363,47.052013646613844,3792.341773862533,53.194692813620314,71.2917318114772,17.26613132508208,0.015228974979468995,
2489,792,1,1,ZTF_r,1625244020115,0,1.5391,182.52,6.4999,26.2201,1.07333e-05,0.0243776,0.102773,1.5456e-05,348,30.0,0.075556,0.068216,20.5204,26.2201,1,2459379.7440278,792120201,1,69.3593680741118,22.3132491790024,3.45777805266428,1.56052773412029,150.577279192417,44.3968954543923,3.41446004905801,1.03064579835333,0.174452414040503,17.3079999923706,0.0140000004321337,0.449999988079071,0.0109999999403954,2458182.927928,2458218.944664,0,-48.9021733210364,118.2615413951482,3671.470162002897,47.34326596168973,3789.731703398045,52.33799691279311,72.40880291449807,17.273578837783113,0.014994033270816795,
2490,792,1,1,ZTF_g,1625304050115,0,1.8432,220.191,6.16308,26.1566,1.52103e-05,0.0291995,-0.0464488,2.21258e-05,349,30.0,0.072443,0.06237,20.4232,26.1566,1,2459379.8040509,792120101,1,271.644811763935,24.3653064696126,12.4017889805768,1.38663952799862,271.427957220309,44.0906044900391,6.19760248899522,1.03642809155792,0.18187314751884,17.5039999008179,0.0099999997764825,0.236000001430511,-0.003000000026077,2458202.807812,2458227.849491,56,-49.255437388356995,320.900249152292,2890.9464001711635,26.62748766282999,3211.8466493234555,36.09281450084364,88.98853397116984,17.389712996078735,0.012200448210010302,
2491,792,1,1,ZTF_g,1625304980115,0,1.9711,216.525,6.13392,26.1436,1.34335e-05,0.0276418,-0.0535905,1.97321e-05,347,30.0,0.076748,0.065524,20.3701,26.1436,3,2459379.8049884,792120101,1,225.23323345229,26.7250264561584,9.37495364266525,1.41332235517959,81.7054519550365,47.5172819623761,1.73107003342487,1.03713523568979,0.18187314751884,17.5039999008179,0.0099999997764825,0.236000001430511,-0.003000000026077,2458202.807812,2458227.849491,0,-49.255437388356995,274.488670840647,2856.538222962589,26.310566078234878,3131.026893803236,4.688406096447129,667.8233133806233,17.40438300503933,0.0016257294081334498,
2492,792,1,1,ZTF_r,1626219060115,0,1.8083,128.077,8.92467,25.8131,2.40325e-05,0.0368259,0.109472,3.47478e-05,351,30.0,0.078582,0.071155,19.7131,25.8131,2,2459380.7190625,792120201,1,106.749816089566,32.4022566455266,3.66476962353401,1.22126077665333,97.1024638813341,62.339276645868,1.56813584985407,1.04202381960322,0.174452414040503,17.3079999923706,0.0140000004321337,0.449999988079071,0.0109999999403954,2458182.927928,2458218.944664,0,-48.9021733210364,155.6519894106024,2523.71322208663,32.54304706621936,2679.3652114972324,45.92337256862502,58.34426048507993,17.24302021436708,0.018608514204711542,
2493,792,1,1,ZTF_r,1626219980115,33554432,1.5739,71.454,11.9132,25.0852,0.000757848,0.194611,0.116946,0.00110541,314,30.0,0.081642,0.073788,18.7442,25.0852,3,2459380.7199884,792120201,1,-110.36528372073,41.7804385238463,-2.93842284085415,1.0726652994145,-59.7929605133135,86.8325248013324,-0.693238733761079,1.03383918136489,0.174452414040503,17.3079999923706,0.0140000004321337,0.449999988079071,0.0109999999403954,2458182.927928,2458218.944664,0,-48.9021733210364,-61.463110399693605,1290.8625549002334,16.6455524789799,1229.3994445005399,38.321412107520594,32.081266761546864,17.360967468623564,0.03384217986371218,
2494,792,1,1,ZTF_g,1626282610115,33554432,2.0343,652.928,13.808,27.3339,1.06698e-05,0.0245406,-0.0155904,1.5538e-05,350,150.0,0.072825,0.062959,20.6338,27.3339,3,2459380.7826157,792120101,1,414.137045019008,59.7131180035793,7.71487923815476,1.34176128498006,385.656831224985,106.870744447924,3.63293298065499,1.04440177874258,0.18187314751884,17.5039999008179,0.0099999997764825,0.236000001430511,-0.003000000026077,2458202.807812,2458227.849491,0,-49.255437388356995,463.392482407365,8549.880400599213,78.74993284972297,9013.272883006579,98.82918792312958,91.20051547946747,17.44669370042935,0.011904537976481399,
