RA,Dec
36.546630859375,-4.724789619445801
36.77041244506836,-4.7247843742370605
36.69301986694336,-4.850315093994141
36.364620208740234,-4.7094831466674805
36.939796447753906,-4.756341934204102
36.94648742675781,-4.755585193634033
36.488555908203125,-4.716730117797852
36.32131576538086,-4.714727401733398
36.698970794677734,-4.7011919021606445
36.526058197021484,-4.7384724617004395
36.571632385253906,-4.790040016174316
36.60529327392578,-4.780031204223633
36.33451843261719,-4.713328838348389
36.96461486816406,-4.714657783508301
36.64344024658203,-4.712447643280029
36.22627639770508,-4.719933986663818
36.9853401184082,-4.718778133392334
36.63555145263672,-4.718621253967285
36.790802001953125,-4.727766513824463
36.851051330566406,-4.723589897155762
36.80333709716797,-4.706089496612549
36.59100341796875,-4.710106372833252
36.00238800048828,-4.704930782318115
36.01075744628906,-4.693241119384766
36.6577033996582,-4.8245320320129395
36.20204544067383,-4.824193477630615
36.41880798339844,-4.703394889831543
36.380775451660156,-4.703254699707031
36.0153923034668,-4.68217134475708
36.588134765625,-4.880373001098633
36.360164642333984,-4.880468845367432
37.0767936706543,-4.701984882354736
36.4045524597168,-4.701941013336182
36.67823028564453,-4.701776027679443
37.02629852294922,-4.894093036651611
36.14451599121094,-4.897931098937988
36.73155212402344,-4.7049760818481445
36.557960510253906,-4.6946306228637695
35.964759826660156,-4.694276332855225
36.46213150024414,-4.694727420806885
36.14451217651367,-4.792675971984863
36.213626861572266,-4.701013088226318
37.0490837097168,-4.685524940490723
36.30303955078125,-4.7760796546936035
36.23280334472656,-4.669991493225098
35.96276092529297,-4.791712760925293
36.78064727783203,-4.708124160766602
36.632537841796875,-4.679694652557373
36.37162780761719,-4.679057598114014
36.75910949707031,-4.679162502288818
37.0364875793457,-4.702416896820068
36.218467712402344,-4.745737552642822
36.44232940673828,-4.694222450256348
36.897438049316406,-4.688842296600342
36.145206451416016,-4.68851375579834
36.155029296875,-4.683897018432617
36.710113525390625,-4.688035488128662
36.87550735473633,-4.6627678871154785
36.26298904418945,-4.673709392547607
36.68439483642578,-4.69496488571167
36.804073333740234,-4.77676248550415
36.31394958496094,-4.669151306152344
36.151031494140625,-4.6503472328186035
36.27363204956055,-4.6857218742370605
36.02399444580078,-4.683009624481201
36.01802062988281,-4.6470184326171875
36.183799743652344,-4.664833068847656
36.246543884277344,-4.697961330413818
36.36957550048828,-4.659795761108398
36.352943420410156,-4.679197788238525
36.41905212402344,-4.640333652496338
36.620994567871094,-4.639331340789795
37.02464294433594,-4.657308101654053
36.0351676940918,-4.656736373901367
36.63493347167969,-4.6358256340026855
36.45827865600586,-4.663602352142334
36.15985870361328,-4.892692565917969
36.04048156738281,-4.668608665466309
35.96262741088867,-4.627326011657715
36.90940475463867,-4.634737968444824
36.00666809082031,-4.675872802734375
36.80695724487305,-4.653189182281494
