 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 29 1246 5 1 ZTF_g 1428244741715 0 2.5625 503.467 20.3285 26.0919 3.67905e-05 0.0356477 -0.0153215 8.2186e-05 205 30. 0.074642 0.096503 18.8017 26.0919 3 2459182.7447454 1246120117 1 -81.7762382458542 101.775851802275 -0.893793483828814 1.03489824643868 -72.0465970916637 166.424055036655 -0.435825428315006 1.05926767908484 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 30 1246 5 1 ZTF_g 1429236031715 0 2.6139 462.106 25.27 26.0275 7.85139e-05 0.0438313 -0.0367683 0.000197237 149 30. 0.07084 0.104692 18.4765 26.0275 2 2459183.7360301 1246120117 1 15.7107716963067 130.988008898473 0.133419951394956 1.03221525406471 346.607727675415 212.252908023143 1.64399231988523 1.05280127076773 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 31 1246 5 1 ZTF_g 1429236501715 0 2.7599 458.723 25.4222 26.0182 6.48505e-05 0.037808 -0.0554053 0.000170042 139 30. 0.080722 0.091833 18.4139 26.0182 3 2459183.7365046 1246120117 1 17.6902669714505 139.281266281463 0.141285138486492 0.941659949511351 86.5756272550574 219.817577551787 0.396504774806769 1.05264438002702 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 32 1246 5 1 ZTF_r 1431287001715 0 2.0333 469.629 14.7785 26.1985 2.1132e-05 0.0350638 0.125033 3.03258e-05 383 30. 0.063529 0.075404 19.5364 26.1985 2 2459185.7870023 1246120217 1 -35.3528330994523 57.6528021887611 -0.682116575734047 0.982019199355568 -74.4293780563089 108.859626392652 -0.688323731054652 1.03359818378773 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 33 1246 5 1 ZTF_r 1431287471715 0 1.8652 467.69 14.4496 26.2112 1.66627e-05 0.0313525 0.130154 2.38492e-05 385 30. 0.066086 0.076655 19.6882 26.2112 3 2459185.7874769 1246120217 1 3.34572405538388 53.6688155731963 0.0693462385312339 0.925199803666955 57.6846285543595 104.934651123469 0.553421936651054 1.03412718518194 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 34 1246 5 1 ZTF_r 1433312321715 0 3.1935 471.154 12.1903 26.1843 2.53581e-05 0.0382969 0.144059 3.61233e-05 381 30. 0.083942 0.098008 19.2699 26.1843 2 2459187.8123264 1246120217 1 36.7673981657282 81.1388289429518 0.504067809884555 0.945407656750753 42.3424120855146 114.419029971057 0.37255682623651 1.10364091954162 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 35 1246 5 1 ZTF_r 1449204311715 0 2.8262 471.709 8.74092 26.1884 1.9379e-05 0.0338247 0.12488 2.77602e-05 384 30. 0.074239 0.089905 19.7353 26.1884 2 2459203.7043171 1246120217 1 43.8699216402032 52.2704103288904 0.933610549375226 0.93368831737421 -100.620995706294 79.8688822844269 -1.26831227637385 1.07681120070907 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 36 1246 5 1 ZTF_r 1449204791715 0 2.8915 473.929 8.59228 26.1887 2.0422e-05 0.0346877 0.129522 2.92214e-05 383 30. 0.079766 0.091726 19.7402 26.1887 3 2459203.7047917 1246120217 1 12.2530149057546 48.4078045835171 0.281567403643645 1.02203233227022 -33.7356721307006 72.3640280439408 -0.469333793896283 1.0867974087023 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 37 1246 5 1 ZTF_r 1451185841715 0 1.8959 484.882 9.8039 26.1915 1.34487e-05 0.0279969 0.125605 1.91049e-05 384 30. 0.060535 0.074236 20.0596 26.1915 2 2459205.6858449 1246120217 1 49.8470592718874 37.4120056677583 1.48211994558544 1.00684188033494 62.7889429175761 72.8453920947265 0.8677533093443 1.03372593462227 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 38 1246 5 1 ZTF_r 1451186301715 0 1.7232 472.146 10.1278 26.206 1.32603e-05 0.0279378 0.124787 1.89401e-05 385 30. 0.062021 0.073441 20.1383 26.206 3 2459205.6863079 1246120217 1 -61.877532646516 35.6374742811924 -1.93143844698546 0.926310968510875 -108.979168114011 72.3196317504879 -1.5170590118585 1.03020660795447 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 39 1246 5 1 ZTF_g 1477141371715 8 5.8272 497.115 7.46385 26.1308 6.80203e-05 0.0433291 -0.0285365 0.000162497 170 30. 0.093106 0.114226 19.1307 26.1308 2 2459231.6413773 1246120117 1 -95.4512315664958 79.1992382953225 -1.34064975337025 0.967843547621137 -83.0924075818354 89.4149320702232 -0.935548881946429 1.41904501732944 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 40 1246 5 1 ZTF_r 1479185841715 0 2.4949 454.015 9.06684 26.1454 2.466e-05 0.0380395 0.124148 3.53458e-05 383 30. 0.090902 0.123514 19.7602 26.1454 2 2459233.6858449 1246120217 1 -84.1835454911472 43.0971909860771 -2.17286652537194 1.03794057463212 -83.8769039542944 71.7798390093755 -1.17640023847431 1.04654878654831 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 41 1246 5 1 ZTF_r 1479186301715 0 2.3005 452.817 9.12126 26.15 2.37035e-05 0.0373265 0.123493 3.39213e-05 383 30. 0.097116 0.11501 19.8491 26.15 3 2459233.6863079 1246120217 1 1.95718117553242 41.9863874746683 0.0518534099811611 0.993698450395758 35.7490160270734 73.1375017338297 0.49208390844153 1.04089396186188 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 42 1246 5 1 ZTF_g 1714458471715 0 2.1199 468.452 6.03197 26.0066 2.25545e-05 0.0366061 -0.046845 3.2657e-05 383 30. 0.07488 0.087186 20.2372 26.0066 2 2459468.9584722 1246120117 1 2.71341179784514 25.1264670769432 0.120126571296554 1.00861538532808 3.67186450054233 45.4510699585722 0.0813313024882198 1.03832790207958 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 43 1246 5 1 ZTF_r 1716446791715 0 1.9963 440.333 7.50743 26.0903 1.30497e-05 0.0279197 0.123828 1.87107e-05 387 30. 0.072511 0.095299 20.1692 26.0903 2 2459470.946794 1246120217 1 -23.6367752200144 28.6088939467768 -0.91905596575562 0.916260047654909 32.2881799249008 54.3454089462072 0.598130427292719 1.03334806849853 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 44 1246 5 1 ZTF_g 1716457101715 0 2.1319 449.044 6.07492 25.9605 1.91813e-05 0.0337361 -0.0359163 2.89755e-05 369 30. 0.071492 0.087251 20.2063 25.9605 2 2459470.9571065 1246120117 1 -25.5750874430662 24.4180145885514 -1.16509564655781 1.03892329075078 -36.4412560723092 43.5507160651684 -0.842390053327787 1.04460954085468 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 45 1246 5 1 ZTF_r 1719478281715 0 2.2493 452.193 6.86967 26.1619 1.30041e-05 0.0276783 0.11793 1.86962e-05 384 30. 0.073468 0.077079 20.099 26.1619 2 2459473.978287 1246120217 1 2.72778563233176 34.7462083958938 0.0873288253545313 0.965680782316106 -15.089538212849 62.0549274018664 -0.244801948159733 1.04283137629815 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 46 1246 5 1 ZTF_r 1722458361715 0 1.9838 471.198 14.3876 26.1655 1.79949e-05 0.0325651 0.118151 2.55892e-05 387 30. 0.071361 0.088074 19.4789 26.1655 2 2459476.9583681 1246120217 1 -54.5245764176064 60.6563609658442 -0.999932651424937 0.943947937413657 -103.248982807866 117.250276810329 -0.886517059705068 1.03348737756188 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 47 1246 5 1 ZTF_g 1724451821715 0 2.3923 479.153 21.734 26.0585 5.60685e-05 0.0429506 -0.0393809 0.000126438 201 30. 0.090149 0.109316 18.7377 26.0585 2 2459478.9518287 1246120117 1 -88.6956394750212 108.060616770258 -0.913039630115316 0.979429214478758 105.083408374074 185.917808684269 0.569021074011774 1.04151169045628 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
