oid,tid,sid,meanra,meandec,sigmara,sigmadec,firstmjd,lastmjd,deltamjd,n_det,n_forced,n_non_det,stellar,class_name,classifier_name,classfier_version,probability,ranking,matched_oids
170028527120810077,1,1,185.84916298893063,8.75264296807633,3.396129966662054e-07,3.630116841297803e-07,61090.250326740745,61098.239036417246,7.988709676501458,249,251,0,,AGN,stamp_classifier_rubin_beta,,0.8448155,1,ZTF19aatgppr
170028500537835652,1,1,148.62665240780225,2.2572218055778746,1.5328952731917525e-07,1.6084660569075834e-07,61090.1077735384,61109.14520318322,19.037429644820804,607,944,0,,AGN,stamp_classifier_rubin_beta,,0.84462136,1,ZTF25aadzjcs
170032927987466245,1,1,148.78364300575382,1.455405289474633,1.5842553693801165e-05,1.075929048965918e-05,61091.2822868433,61091.2822868433,0.0,1,0,0,,AGN,stamp_classifier_rubin_beta,,0.84389436,1,ZTF21aakshol
170028511728763023,1,1,150.73712117149893,2.463716927949527,3.067741353953508e-08,3.1283038260196916e-08,61090.18479328063,61095.146552156235,4.961758875608211,120,360,0,,AGN,stamp_classifier_rubin_beta,,0.843916,1,ZTF20aajroty
170028526451294221,1,1,185.62195660102464,8.11668406652166,2.2448166551825217e-07,2.538576977887431e-07,61090.247937232445,61098.24043959218,7.9925023597315885,554,545,0,,AGN,stamp_classifier_rubin_beta,,0.84233516,1,ZTF23aakxijc
170028536696930333,1,1,185.48025334322355,8.14699252729919,2.4937649301105895e-05,2.0105048515263585e-05,61090.32908285819,61091.25019899446,0.921116136261844,4,29,0,,AGN,stamp_classifier_rubin_beta,,0.8421379,1,ZTF18aastwlv
170028527009136733,1,1,186.5901733381715,8.55642629665854,3.17448598216963e-07,3.489349825390488e-07,61090.24986030235,61098.24137255241,7.991512250053347,458,452,0,,AGN,stamp_classifier_rubin_beta,,0.842215,1,ZTF23aaoszky
313871013177196676,1,1,151.6300457598986,2.1511443770788015,1.2853557488829516e-06,1.320018709430674e-06,61028.31830778888,61095.1470194866,66.82871169771533,62,300,0,,AGN,stamp_classifier_rubin_beta,,0.80159974,1,ZTF21aahpfog
170028526895366187,1,1,186.77269827094185,6.906066324698542,1.390817021143809e-07,1.4230040088784942e-07,61090.24939239549,61095.2185456929,4.96915329741023,192,284,0,,AGN,stamp_classifier_rubin_beta,,0.801863,1,ZTF22aaacmor
170028528375955573,1,1,186.9212411400106,8.971617482825575,7.449140470195895e-07,7.102762454410639e-07,61090.25448737413,61095.32848646294,5.073999088810524,17,19,0,,AGN,stamp_classifier_rubin_beta,,0.80117774,1,ZTF18aarltnz
170050543266824310,1,1,188.97309651218663,8.029983227104868,1.0318645763618406e-05,1.00005890999455e-05,61095.328047180985,61095.328047180985,0.0,1,0,0,,AGN,stamp_classifier_rubin_beta,,0.8007215,1,ZTF21abasriv
313853517457522696,1,1,151.097717856672,1.6599815190054832,5.385702234360993e-07,5.50367239954107e-07,61024.24593270644,61109.14520318322,84.89927047678066,859,1011,0,,AGN,stamp_classifier_rubin_beta,,0.8004373,1,ZTF25aadymqd
170028526742798458,1,1,187.42877900367543,7.869374761371013,6.441716456146753e-06,6.505735780531913e-06,61090.24892803998,61095.21748577128,4.96855773129937,21,197,0,,AGN,stamp_classifier_rubin_beta,,0.7978388,1,ZTF19aalonjw
170028526471217240,1,1,186.0707014014394,8.314096868046734,1.707138816661584e-07,1.863403673916085e-07,61090.247937232445,61098.24137255241,7.993435319964192,563,534,0,,AGN,stamp_classifier_rubin_beta,,0.79750466,1,"ZTF22aaaydfr,ZTF22aaaficd"
313853517483737108,1,1,149.21641453969218,0.8472622167387668,3.9552881336931746e-07,4.012660125515289e-07,61024.24593270644,61109.14520318322,84.89927047678066,703,679,0,,AGN,stamp_classifier_rubin_beta,,0.7971903,1,ZTF25aadpgsa
170050543272067082,1,1,189.32225235220943,8.05893184539514,1.514159521320835e-05,1.5648387488909066e-05,61095.328047180985,61095.328047180985,0.0,1,0,0,,AGN,stamp_classifier_rubin_beta,,0.79632586,1,ZTF24aajctjg
170028527181103444,1,1,186.46546137179303,6.256093037122695,2.556006992948221e-07,2.64890660993693e-07,61090.250326740745,61097.33255222646,7.082225485712115,243,388,0,,AGN,stamp_classifier_rubin_beta,,0.7953621,1,ZTF24aaiekml
170050543254241370,1,1,189.2131698679564,8.796432140305269,2.5447910957154814e-05,2.823294016707223e-05,61095.328047180985,61095.328047180985,0.0,1,0,0,,AGN,stamp_classifier_rubin_beta,,0.79262966,1,ZTF24aajcunm
170032912290807857,1,1,149.2710876187291,1.0960721793717756,1.7588223272468895e-05,1.3374622540140988e-05,61091.214756270536,61091.214756270536,0.0,1,0,0,,AGN,stamp_classifier_rubin_beta,,0.7913724,1,"ZTF20aarzcau,ZTF18acqgfwt"
170050503677313101,1,1,185.7285054168109,7.712954103165342,9.82205801847158e-06,1.0348977411922531e-05,61095.166016693074,61095.166016693074,0.0,1,0,0,,AGN,stamp_classifier_rubin_beta,,0.7909181,1,ZTF25acktjug
170028522023682077,1,1,149.52442423354876,0.6186165230245142,1.1070531972725292e-07,1.0566812969407769e-07,61090.22819024716,61095.10748965437,4.8792994072136935,5,57,0,,AGN,stamp_classifier_rubin_beta,,0.7897154,1,ZTF25aarupoh
170028515223142405,1,1,150.64584116716648,3.4267053708061903,4.177419652906358e-07,3.7187556015892515e-07,61090.20004827992,61091.211591491025,1.0115432111051632,5,143,0,,AGN,stamp_classifier_rubin_beta,,0.78860986,1,ZTF21acrwzfn
170032928167821364,1,1,148.94350350736732,2.9420965909073127,8.122528015519492e-06,9.676899026089814e-06,61091.28275112204,61091.28275112204,0.0,1,0,0,,AGN,stamp_classifier_rubin_beta,,0.78836447,1,ZTF18actsjyx
314007379505053826,1,1,148.97898027098623,1.7406209390908385,1.483874435517601e-07,1.493134365054708e-07,61059.295812048265,61095.163647517715,35.867835469449346,156,385,0,,AGN,stamp_classifier_rubin_beta,,0.7871111,1,ZTF24aabmfmk
170032917135753238,1,1,186.6845460764396,9.048461323848016,2.299194276549625e-07,2.3453925120774477e-07,61090.25448737413,61095.32848646294,5.073999088810524,11,10,0,,AGN,stamp_classifier_rubin_beta,,0.787164,1,ZTF18aatfepr
170028526489042964,1,1,186.49523179884943,6.7851330772979,8.262032048896504e-07,8.692273845334505e-07,61090.247937232445,61098.24137255241,7.993435319964192,517,568,0,,AGN,stamp_classifier_rubin_beta,,0.786713,1,ZTF24aaiytvb
